relative_id,timestamp,0C:8C:DC:1B:73:60_IMU9_Acc_X,0C:8C:DC:1B:73:60_IMU9_Acc_Y,0C:8C:DC:1B:73:60_IMU9_Acc_Z,0C:8C:DC:1B:73:60_IMU9_Gyro_X,0C:8C:DC:1B:73:60_IMU9_Gyro_Y,0C:8C:DC:1B:73:60_IMU9_Gyro_Z,0C:8C:DC:1B:73:60_IMU9_Magn_X,0C:8C:DC:1B:73:60_IMU9_Magn_Y,0C:8C:DC:1B:73:60_IMU9_Magn_Z,0C:8C:DC:22:32:DC_IMU9_Acc_X,0C:8C:DC:22:32:DC_IMU9_Acc_Y,0C:8C:DC:22:32:DC_IMU9_Acc_Z,0C:8C:DC:22:32:DC_IMU9_Gyro_X,0C:8C:DC:22:32:DC_IMU9_Gyro_Y,0C:8C:DC:22:32:DC_IMU9_Gyro_Z,0C:8C:DC:22:32:DC_IMU9_Magn_X,0C:8C:DC:22:32:DC_IMU9_Magn_Y,0C:8C:DC:22:32:DC_IMU9_Magn_Z,0C:8C:DC:34:E8:FE_IMU9_Acc_X,0C:8C:DC:34:E8:FE_IMU9_Acc_Y,0C:8C:DC:34:E8:FE_IMU9_Acc_Z,0C:8C:DC:34:E8:FE_IMU9_Gyro_X,0C:8C:DC:34:E8:FE_IMU9_Gyro_Y,0C:8C:DC:34:E8:FE_IMU9_Gyro_Z,0C:8C:DC:34:E8:FE_IMU9_Magn_X,0C:8C:DC:34:E8:FE_IMU9_Magn_Y,0C:8C:DC:34:E8:FE_IMU9_Magn_Z,0C:8C:DC:34:E9:35_IMU9_Acc_X,0C:8C:DC:34:E9:35_IMU9_Acc_Y,0C:8C:DC:34:E9:35_IMU9_Acc_Z,0C:8C:DC:34:E9:35_IMU9_Gyro_X,0C:8C:DC:34:E9:35_IMU9_Gyro_Y,0C:8C:DC:34:E9:35_IMU9_Gyro_Z,0C:8C:DC:34:E9:35_IMU9_Magn_X,0C:8C:DC:34:E9:35_IMU9_Magn_Y,0C:8C:DC:34:E9:35_IMU9_Magn_Z,0C:8C:DC:36:0C:A2_IMU9_Acc_X,0C:8C:DC:36:0C:A2_IMU9_Acc_Y,0C:8C:DC:36:0C:A2_IMU9_Acc_Z,0C:8C:DC:36:0C:A2_IMU9_Gyro_X,0C:8C:DC:36:0C:A2_IMU9_Gyro_Y,0C:8C:DC:36:0C:A2_IMU9_Gyro_Z,0C:8C:DC:36:0C:A2_IMU9_Magn_X,0C:8C:DC:36:0C:A2_IMU9_Magn_Y,0C:8C:DC:36:0C:A2_IMU9_Magn_Z
4706,1720521217.690734,9.79417324066162,-0.4809745252132416,0.5431901216506958,10.43000030517578,-0.8400000333786011,1.4700000286102295,166.20166015625,-213.47537231445312,173.9869842529297,9.205517768859863,-2.747058391571045,1.3639576435089111,-6.929999828338623,0.4900000095367431,1.399999976158142,57.00000381469727,27.600000381469727,-29.55000114440918,9.708027839660645,1.966970443725586,1.1653462648391724,29.049999237060547,0.2100000083446502,6.929999828338623,22.64400291442871,-105.93262481689452,140.6015625,9.691277503967283,-1.0074143409729004,1.6104271411895752,6.860000133514404,-2.5899999141693115,-2.0999999046325684,157.9669952392578,-90.4609832763672,-178.868408203125,9.93056869506836,1.907147765159607,-0.2967205941677093,8.399999618530273,-3.3600001335144043,-0.6299999952316284,123.88937377929688,-199.86016845703125,114.44142150878906
4707,1720521217.690837,9.770243644714355,-0.4714028835296631,0.5575475692749023,9.800000190734863,-1.3300000429153442,1.680000066757202,165.52330017089844,-216.0220947265625,172.97933959960938,9.284482955932615,-2.928919553756714,1.3137065172195437,-6.650000095367432,-0.5600000023841858,3.009999990463257,56.55000305175781,27.750001907348636,-28.80000114440918,9.708027839660645,2.0483293533325195,1.2419192790985107,32.27000045776367,-0.6299999952316284,5.880000114440918,22.64400291442871,-105.93262481689452,140.6015625,9.691277503967283,-0.8566610813140869,1.552997350692749,7.559999942779541,-1.8200000524520876,-0.9100000262260436,157.86514282226562,-88.88250732421875,-181.11126708984372,9.935354232788086,2.002864122390747,-0.2560411691665649,8.819999694824219,-2.240000009536743,-1.75,123.16654205322266,-200.25677490234372,115.21707153320312
4708,1720521217.716478,9.83485221862793,-0.5384043455123901,0.5575475692749023,9.3100004196167,-2.1700000762939453,1.8899999856948853,166.46534729003906,-216.97825622558597,172.9437255859375,9.29644775390625,-3.0748867988586426,1.3735291957855225,-3.7100000381469727,-1.75,3.640000104904175,56.400001525878906,27.30000114440918,-27.900001525878903,9.775029182434082,2.184725046157837,1.2658483982086182,33.67000198364258,-1.2599999904632568,4.829999923706055,22.64400291442871,-105.93262481689452,140.6015625,9.61949062347412,-0.600619912147522,1.557783126831055,4.130000114440918,-1.5399999618530271,-0.0700000002980232,159.21743774414062,-88.0301513671875,-179.28700256347656,9.858781814575195,2.0196144580841064,-0.3445787727832794,9.029999732971191,-1.680000066757202,-1.9600000381469729,123.16654205322266,-200.25677490234372,115.21707153320312
4709,1720521217.742119,9.913818359375,-0.5360113978385925,0.6389064788818359,9.100000381469728,-2.5899999141693115,2.240000009536743,166.95481872558594,-215.712646484375,174.84701538085938,9.253376007080078,-2.993528127670288,1.3137065172195437,1.2599999904632568,-2.870000123977661,3.430000066757202,55.650001525878906,27.750001907348636,-27.750001907348636,9.839637756347656,2.366586208343506,1.229954719543457,31.71000099182129,-2.0999999046325684,4.269999980926514,22.64400291442871,-105.93262481689452,140.6015625,9.57402515411377,-0.758551836013794,1.5984625816345217,-0.3499999940395355,-2.0299999713897705,1.2599999904632568,160.7461395263672,-88.81937408447266,-179.15676879882812,9.83485221862793,2.1895108222961426,-0.3062922358512878,8.399999618530273,-0.9800000190734864,-2.240000009536743,120.71117401123048,-201.22720336914065,110.15499114990234
4710,1720521217.76776,9.985605239868164,-0.5575475692749023,0.6317277550697327,8.819999694824219,-2.7300000190734863,2.450000047683716,165.88986206054688,-215.5429229736328,173.90293884277344,9.246196746826172,-2.9049904346466064,1.3759222030639648,5.389999866485596,-4.900000095367432,3.0799999237060547,56.55000305175781,28.350000381469727,-28.950000762939453,9.913818359375,2.476659774780273,1.2897775173187256,26.38999938964844,-2.309999942779541,3.7799999713897705,22.64400291442871,-105.93262481689452,140.6015625,9.693670272827148,-0.9715206623077391,1.6056413650512695,-2.1700000762939453,-2.450000047683716,2.5899999141693115,158.840576171875,-89.55184936523438,-178.99346923828125,9.751100540161133,2.290013074874878,-0.284756064414978,6.510000228881836,-0.8400000333786011,-2.240000009536743,122.30020904541016,-203.04409790039065,113.60729217529295
4711,1720521232.4159048,10.00953483581543,-0.6149773597717285,0.5479759573936462,8.890000343322754,-1.8899999856948853,2.7300000190734863,166.2577362060547,-213.74334716796875,174.49984741210938,9.310805320739746,-2.845167636871338,1.543425679206848,7.909999847412109,-6.300000190734863,3.0799999237060547,57.900001525878906,27.750001907348636,-30.000001907348636,9.82528018951416,2.500588893890381,1.366350531578064,18.82999992370605,-2.380000114440918,3.289999961853028,22.64400291442871,-105.93262481689452,140.6015625,9.873138427734377,-1.0457007884979248,1.5769264698028564,-1.680000066757202,-2.5899999141693115,2.6600000858306885,159.54457092285156,-89.15919494628906,-180.3304443359375,9.703242301940918,2.416837215423584,-0.3302213251590729,3.3600001335144043,-0.4200000166893005,-2.5899999141693115,119.7215805053711,-201.0416412353516,111.45618438720705
4712,1720521232.4161668,9.88031768798828,-0.5479759573936462,0.619763195514679,8.329999923706055,-2.799999952316284,2.380000114440918,164.0147705078125,-213.90850830078125,173.083740234375,9.284482955932615,-2.72552227973938,1.4812101125717163,8.609999656677246,-7.139999866485596,2.6600000858306885,55.35000228881836,29.850000381469727,-28.200000762939453,9.858781814575195,2.4000868797302246,1.4022440910339355,11.6899995803833,-2.240000009536743,2.380000114440918,22.64400291442871,-105.93262481689452,140.6015625,10.038249015808104,-0.9451987147331238,1.5721405744552612,0.0,-1.5399999618530271,1.8899999856948853,158.7267608642578,-86.09618377685547,-179.64181518554688,9.691277503967283,2.373764753341675,-0.2991135120391845,-0.6299999952316284,-0.4900000095367431,-2.940000057220459,122.2971420288086,-205.9647979736328,113.08956909179688
4713,1720521232.4418075,10.0885009765625,-0.569512128829956,0.6891575455665588,4.900000095367432,-4.96999979019165,3.0799999237060547,165.84275817871094,-215.55284118652344,172.4996337890625,9.286876678466797,-2.68245005607605,1.5984625816345217,6.720000267028809,-8.119999885559082,2.309999942779541,55.50000381469727,28.200000762939453,-28.200000762939453,9.796566009521484,2.359407424926758,1.4764243364334106,5.53000020980835,-2.240000009536743,1.0499999523162842,22.64400291442871,-105.93262481689452,140.6015625,,,,,,,,,,9.916211128234863,2.366586208343506,-0.3445787727832794,-3.920000076293945,-0.7699999809265137,-3.220000028610229,120.83965301513672,-199.88003540039065,113.61721801757812
4714,1720521232.416067,9.906639099121094,-0.5264397859573364,0.4044014811515808,12.039999961853027,4.690000057220459,2.0299999713897705,165.0908966064453,-212.47593688964844,175.15289306640625,9.353878021240234,-2.72552227973938,1.4979604482650757,3.569999933242798,-8.050000190734863,2.0299999713897705,56.25000381469727,27.750001907348636,-28.350000381469727,9.901853561401367,2.151224374771118,1.543425679206848,2.940000057220459,-2.940000057220459,-0.9800000190734864,22.64400291442871,-105.93262481689452,140.6015625,9.894675254821776,-0.7753022313117981,1.622391700744629,1.0499999523162842,-0.8400000333786011,1.3300000429153442,158.4517822265625,-88.71556091308594,-180.9454040527344,9.964069366455078,2.292405843734741,-0.3661149442195892,-6.300000190734863,-0.2100000083446502,-3.3600001335144043,119.44157409667967,-199.421875,110.06295776367188
4715,1720521232.416042,9.418486595153809,-0.4235447347164154,1.0911661386489868,1.8200000524520876,-5.460000038146973,1.3300000429153442,167.11279296875,-217.07830810546875,173.76275634765625,9.265339851379396,-2.747058391571045,1.4740313291549685,0.8400000333786011,-7.139999866485596,1.9600000381469729,57.00000381469727,26.850000381469727,-29.700000762939453,9.923389434814451,1.93586266040802,1.6032484769821167,3.640000104904175,-3.3600001335144043,-3.430000066757202,22.64400291442871,-105.93262481689452,140.6015625,9.8444242477417,-0.6652284264564514,1.7037506103515625,0.3499999940395355,-1.5399999618530271,1.2599999904632568,157.87661743164062,-91.52035522460938,-180.03689575195312,9.868352890014648,2.2158329486846924,-0.3062922358512878,-7.699999809265137,0.0,-3.289999961853028,122.95282745361328,-202.3824615478516,111.89778900146484
